n,TA(n),TB(n),TC(n),log(n),log(TA),log(TB),log(TC)
100,2,0,2,6.64386,1,#NAME?,1
200,9,2,20,7.64386,3.16993,1,4.32193
300,18,5,56,8.22882,4.16993,2.32193,5.80735
400,21,7,141,8.64386,4.39232,2.80735,7.13955
500,46,14,247,8.96578,5.52356,3.80735,7.94837
600,45,14,394,9.22882,5.49185,3.80735,8.62205
700,60,21,577,9.45121,5.90689,4.39232,9.17243
800,80,26,858,9.64386,6.32193,4.70044,9.74483
900,98,33,1235,9.81378,6.61471,5.04439,10.2703
1000,132,42,1795,9.96578,7.04439,5.39232,10.8098
1100,160,52,2411,10.1033,7.32193,5.70044,11.2354
1200,200,64,3321,10.2288,7.64386,6,11.6974
1300,247,77,4090,10.3443,7.94837,6.26679,11.9979
1400,263,82,5175,10.4512,8.03892,6.35755,12.3373
1500,421,130,6014,10.5507,8.71768,7.02237,12.5541
1600,355,109,8257,10.6439,8.47168,6.76818,13.0114
1700,462,129,9199,10.7313,8.85175,7.01123,13.1673
1800,499,152,14232,10.8138,8.9629,7.24793,13.7969
1900,1073,298,18171,10.8918,10.0674,8.21917,14.1494
2000,1102,392,19929,10.9658,10.1059,8.61471,14.2826
2100,806,232,20973,11.0362,9.65464,7.85798,14.3562
2200,824,260,25108,11.1033,9.6865,8.02237,14.6159
2300,700,224,20297,11.1674,9.45121,7.80735,14.309
2400,746,236,22222,11.2288,9.54303,7.88264,14.4397
2500,791,264,25127,11.2877,9.62753,8.04439,14.617
2600,856,266,27798,11.3443,9.74147,8.05528,14.7627
2700,967,378,31209,11.3987,9.91737,8.56224,14.9297
2800,993,303,34570,11.4512,9.95565,8.24317,15.0772
2900,1036,327,38193,11.5018,10.0168,8.35315,15.221
3000,1136,358,42170,11.5507,10.1497,8.48382,15.3639
